path,species,label,label_name
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20191110_081324.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191115_054424_1.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Nibea Albiflora - Fresh\IMG_20191113_060334.jpg,nibea albiflora,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191111_053452.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191014_070058.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Fresh\IMG_20191016_065312.jpg,johnius trachycephalus,1,Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191111_055912_3.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Eleutheronema Tetradactylum - Highly Fresh\IMG_20191015_071919.jpg,eleutheronema tetradactylum,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191113_055111_1.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191110_080728_1.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Not Fresh\IMG_20191114_060217.jpg,oreochromis mossambicus,2,Not Fresh
data\mendeley\Oreochromis Mossambicus - Not Fresh\IMG_20191114_060850_2.jpg,oreochromis mossambicus,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191113_061850_1.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191115_053159.jpg,chanos chanos,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191113_053709.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20190930_070819.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Nibea Albiflora - Fresh\IMG_20191112_061805_2.jpg,nibea albiflora,1,Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191110_061237_1.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Highly Fresh\IMG_20191015_065918.jpg,johnius trachycephalus,0,Highly Fresh
data\mendeley\Nibea Albiflora - Not Fresh\IMG_20191114_062537_1.jpg,nibea albiflora,2,Not Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191112_054941_1.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191114_053554.jpg,chanos chanos,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191004_064158.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191113_051752.jpg,chanos chanos,1,Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191115_054648.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191005_072516.jpg,chanos chanos,2,Not Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191111_063348_1.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191004_063853.jpg,chanos chanos,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191114_055302.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191113_062006.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191005_072012.jpg,chanos chanos,2,Not Fresh
data\mendeley\Eleutheronema Tetradactylum - Highly Fresh\IMG_20191014_072943.jpg,eleutheronema tetradactylum,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191112_055126_1.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191111_055053_4.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_075614.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Not Fresh\IMG_20191018_060636.jpg,johnius trachycephalus,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191111_062252_1.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191113_052226.jpg,chanos chanos,1,Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191114_062127_7.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191114_061712.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191112_055732.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191002_064354.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191018_053930.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191111_053951_4.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Eleutheronema Tetradactylum - Fresh\IMG_20191017_071246.jpg,eleutheronema tetradactylum,1,Fresh
data\mendeley\Nibea Albiflora - Not Fresh\IMG_20191114_062929_1.jpg,nibea albiflora,2,Not Fresh
data\mendeley\Nibea Albiflora - Not Fresh\IMG_20191115_062220_2.jpg,nibea albiflora,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191003_063142.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191111_053915_2.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191113_053427_1.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191114_063629_4.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Johnius Trachycephalus - Not Fresh\IMG_20191019_062817.jpg,johnius trachycephalus,2,Not Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191112_052306.jpg,chanos chanos,1,Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191114_063538.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191111_054252.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191016_062721.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191110_061504_4.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20190930_071747.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191112_052246.jpg,chanos chanos,1,Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_080127.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191016_062937.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191003_063433.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191112_055919_3.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191004_063810.jpg,chanos chanos,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191113_055851.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191017_062954.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Oreochromis Mossambicus - Not Fresh\IMG_20191114_060335_3.jpg,oreochromis mossambicus,2,Not Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20191110_060701.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Not Fresh\IMG_20191018_060852.jpg,johnius trachycephalus,2,Not Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_055059_7.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191003_064433.jpg,chanos chanos,1,Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191004_063022.jpg,chanos chanos,2,Not Fresh
data\mendeley\Johnius Trachycephalus - Not Fresh\IMG_20191019_061838.jpg,johnius trachycephalus,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191112_053932_!.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Eleutheronema Tetradactylum - Fresh\IMG_20191017_070741.jpg,eleutheronema tetradactylum,1,Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191016_063314.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191115_055149_1.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191115_061319.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Eleutheronema Tetradactylum - Fresh\IMG_20191016_071357.jpg,eleutheronema tetradactylum,1,Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20191001_063347.jpg,chanos chanos,0,Highly Fresh
